,batch exp flux,maximum,minimum
r_0534,15.9,15.900273195215505,15.899795103597011
r_0962,-28.3974,-27.563588148460692,-27.56245980620916
r_0961,0.0159,0.7106448103159808,0.7099183283190871
r_2131,0.3975,0.2189772379254574,0.21108872687261737
r_0713,0.0,999.9292306087167,0.4181624744527914
r_0300,-0.3975,-0.41986335062652524,-0.41950823447325253
r_1022,0.0,-0.00035856870224648674,-0.0
r_0454,0.0,-3.925819460169806,-0.0
r_1054,-14.469,-13.859721271422803,-13.857957819009982
r_0486,28.6041,28.035947192645402,28.034103125086588
r_0450,14.469,13.863505549710968,-0.00040979280615255353
r_0452,0.0,-0.15495272788575098,-0.1518196551672275
r_0302,0.3975,1000.0,-999.5804032507262
r_0892,-28.6041,-28.03594719254571,-28.034103125079007
r_0893,-28.6041,-27.781243129146066,-27.780165775564754
r_0889,2.5758,1.2518201555404953,1.2469112987182698
r_1049,-0.7473,-0.411511549142805,-0.40987526382187944
r_1048,1.59,0.4117193314471914,-13.453631727469402
r_1050,-1.59,0.30265856442246475,0.3010222791015398
r_0466,2.5758,1.2518201555466917,1.2469112994410887
r_0467,12.879,13.485524090337462,13.48061523463267
r_0886,14.469,13.863506991602828,0.0
r_0959,26.9187,25.32589514689486,25.32433793423877
r_2115,25.2333,1000.0,0.0
r_2116,1.6854,0.0005737099397411377,0.0
r_0112,1.1607,0.09956453751760186,0.0985867598987753
r_0958,1.4151,1.0419800466763718,1.0340915354870355
r_0366,28.6041,27.78124276880575,27.780165775620635
r_0832,0.0,0.00024124237299151015,0.0
r_0091,2.5758,1.2518195464396331,1.246915623900904
r_0718,0.636,0.0009561831804378862,0.0
r_1239,1.3515,0.0014328334448461266,0.0
r_4041,0.37,0.41185389602840394,0.41185389602840394
